mjd,filter,mag,magerr,sn
58655.43574,rp,18.60433004,0.037544849,28.95336213
58655.43744,rp,18.57044177,0.03565345,30.48953501
58655.43913,rp,18.59887211,0.036631739,29.6752741
58655.44131,gp,18.65781994,0.042152801,25.79719202
58655.44301,gp,18.64298848,0.042244409,25.74112963
58655.4447,gp,18.58687859,0.04186326,25.97537079
58656.42702,rp,18.57582707,0.043048382,25.25165761
58656.42871,rp,18.54759708,0.041475581,26.20959546
58656.43041,rp,18.48355728,0.041841665,25.9795884
58656.43259,gp,18.51324635,0.10849596,10.0194575
58657.44087,rp,18.53786037,0.040500238,26.84031414
58657.44257,rp,18.54751201,0.038662738,28.11613526
58657.44426,rp,18.58396948,0.04147362,26.21047525
58657.44644,gp,18.47961068,0.046245331,23.51354053
58657.44814,gp,18.53009303,0.057535805,18.8973056
58657.44985,gp,18.55751793,0.061959933,17.54806185
58658.43755,rp,18.52547173,0.032799157,33.14330867
58658.43924,rp,18.50665471,0.031488185,34.52400554
58658.44094,rp,18.53448037,0.031350577,34.67482689
58658.44312,gp,18.51977814,0.034369324,31.64467887
58658.44482,gp,18.57171688,0.040779119,26.66530919
58658.44652,gp,18.52724508,0.040926379,26.57116805
58663.43876,gp,18.46372871,0.018262407,59.65298071
58663.44062,rp,18.46561696,0.021805914,49.85538099
58663.44248,gp,18.51057653,0.02108805,51.63244707
58663.44435,rp,18.47557282,0.022940426,47.38854534
58663.44622,gp,18.43431919,0.023483118,46.35276459
58663.44808,rp,18.45045537,0.024136668,45.03900864
58665.40667,gp,18.48577715,0.019855966,54.84036444
58665.40853,rp,18.49048313,0.025833301,42.08091329
58665.41041,gp,18.4844764,0.020442855,53.25645907
58665.41227,rp,18.43060621,0.025994746,41.81842002
58665.41414,gp,18.39254806,0.019324543,56.34818018
58665.416,rp,18.44719359,0.026292041,41.34597212
58669.39147,gp,18.55983384,0.026721197,40.71548776
58669.39334,rp,18.48232759,0.035383042,30.72249172
58669.39521,gp,18.48009949,0.031160952,34.90803784
58669.39707,rp,18.50762906,0.045339043,23.9755921
58669.39892,gp,18.50250393,0.032274735,33.70134249
58669.40079,rp,18.54578268,0.043704572,24.87209224
58670.42262,gp,18.47710416,0.067814868,16.03039686
58670.42449,rp,19.19339616,0.369373644,2.942820151
58670.42636,gp,18.66194646,0.12266696,8.861688817
58670.42822,rp,18.56593355,0.072185518,15.05875163
58670.43009,gp,18.4005833,0.035792104,30.38575331
58670.43196,rp,18.58486493,0.074871077,14.51843009
58673.41379,gp,18.49416816,0.02029937,53.63888565
58673.41564,rp,18.45013268,0.023508709,46.24162052
58673.41751,gp,18.49007553,0.018684362,58.29302003
58673.41936,rp,18.46521095,0.021826847,49.80561288
58673.42122,gp,18.4756538,0.017528761,62.17576513
58673.42308,rp,18.49992156,0.021779698,49.91351711
58675.42369,gp,18.47774295,0.013416447,81.32858579
58675.42563,rp,18.43939373,0.016131322,67.39803521
58676.39727,gp,18.51392261,0.019103414,57.01578359
58676.39914,rp,18.43355188,0.023983851,45.32777922
58676.401,gp,18.48948019,0.020554179,52.99003395
58676.40287,rp,18.5042879,0.030435612,35.71751066
58676.40474,gp,18.5408417,0.019148333,56.91541763
58676.40659,rp,18.45490015,0.021986682,49.44309596
58678.40222,rp,18.5952558,0.068323776,15.91020417
58678.40409,gp,18.44864567,0.046540264,23.35659142
58678.40595,rp,18.41336347,0.038944915,27.91637382
58678.40782,gp,18.47854892,0.026737339,40.69510224
58678.40968,rp,18.49303205,0.028193324,38.55803538
58678.41155,gp,18.47686737,0.02298065,47.37396801
58679.44799,rp,18.45106445,0.024074131,45.15703448
