,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,775104100001769,51548232,2458269.9783680825,58269.4823264,18.3566856,0.0331274867,0,zg,24.7766216,52.7603146,0.624000013,0.0430000015,20180531482106,775,0x4,0x1,18.5599995,26.1338024,0.0467066728,-0.0255534053,8.16401152e-05,30,1.95000005,1
1,775104100001769,52147270,2458275.9689574903,58275.4727083,18.5147877,0.0359312966,0,zg,24.7764809,52.7603507,0.975000024,-0.0820000023,20180606472639,775,0x4,0x1,19.9500008,26.0732231,0.0276256073,-0.0896466523,1.74929173e-05,30,1.87699997,1
2,775104100001769,52346476,2458277.961095652,58277.4647685,18.4009495,0.0338734277,0,zg,24.776401,52.7603178,1.00199997,0.0320000015,20180608464722,775,0x4,0x1,20.6399994,26.0398083,0.0205646325,-0.0572758131,9.44506792e-06,30,1.90400004,1
3,775104100001769,52546790,2458279.964315024,58279.4679051,18.3999977,0.0338570848,0,zg,24.7765001,52.7603122,1.08000004,-0.0309999995,20180610467894,775,0x4,0x1,20.5200005,26.1888485,0.023356026,-0.0699831173,1.20748718e-05,30,1.81599998,1
4,775104100001769,52645158,2458280.948037744,58280.4515856,18.4679012,0.0350586958,0,zg,24.7764072,52.760318,1.17200005,0.023,20180611451551,775,0x4,0x1,21.0799999,26.1597424,0.0211872421,-0.0527936183,9.92585865e-06,30,1.96000004,1
5,775104100001769,52945118,2458283.9477677844,58283.4511806,18.4808254,0.0352956392,0,zg,24.7764347,52.7603073,0.42899999,-0.0189999994,20180614451181,775,0x4,0x1,20.9400005,26.1676369,0.0195412748,-0.0510134771,8.55747567e-06,30,1.875,1
6,775104100001769,53245361,2458286.9503426272,58286.4536111,18.4440422,0.0346282534,0,zg,24.7764376,52.7603355,0.741999984,-0.0270000007,20180617453600,775,0x4,0x1,21.2199993,26.2147484,0.0177451428,-0.057452891,7.07210893e-06,30,1.77100003,1
7,775104100001769,53442863,2458288.9254655545,58288.4286343,18.5126076,0.0358899198,0,zg,24.776493,52.7603461,0.829999983,0.0219999999,20180619428634,775,0x4,0x1,20.4400005,26.1439362,0.0234835576,-0.0439674854,1.21130824e-05,30,1.97300005,1
8,775104100001769,53542664,2458289.9235265604,58289.4266435,18.4259319,0.0343075283,0,zg,24.7764469,52.7602752,0.446999997,-0.0309999995,20180620426620,775,0x4,0x1,20.9200001,26.1597137,0.0222075358,-0.0402280204,1.0951092e-05,30,1.96500003,1
9,775104100001769,53645196,2458290.9489048617,58290.4519676,18.4577007,0.0348735601,0,zg,24.7764419,52.7603346,0.992999971,-0.0320000015,20180621451898,775,0x4,0x1,21.1200008,26.2098598,0.018961722,-0.0652947649,8.14866962e-06,30,1.69000006,1
10,775104100001769,53745087,2458291.947870564,58291.4508796,18.4442291,0.034631595,0,zg,24.7764142,52.7602852,0.736000001,-0.00600000005,20180622450880,775,0x4,0x1,21.3899994,26.2105694,0.0168235935,-0.0628343746,6.42830946e-06,30,1.67700005,1
11,775104100001769,53844944,2458292.9464899367,58292.4494444,18.4589596,0.0348963179,0,zg,24.7763877,52.7602992,0.717000008,0.0179999992,20180623449433,775,0x4,0x1,21.4699993,26.2173595,0.0166057888,-0.0634971261,6.22740117e-06,30,1.66600001,1
12,775104100001769,53945050,2458293.9476104216,58293.4505093,18.4633446,0.0349757746,0,zg,24.7764077,52.7602842,0.741999984,-0.0179999992,20180624450405,775,0x4,0x1,21.25,26.2374725,0.0185866468,-0.0826550424,7.84249733e-06,30,1.63699996,1
13,775104100001769,54646837,2458300.9658937054,58300.4683796,18.4501648,0.034737844,0,zg,24.7764237,52.760287,0.549000025,-0.0399999991,20180701468380,775,0x4,0x1,20.4699993,26.2176571,0.021129638,-0.0503041707,1.00598681e-05,30,1.40600002,1
14,775104100001769,54747293,2458301.970516167,58301.4729398,18.4148045,0.0341129974,0,zg,24.7764449,52.7602909,0.549000025,-0.0140000004,20180702472917,775,0x4,0x1,20.6000004,26.2067127,0.0210976359,-0.0438610725,9.92377318e-06,30,1.37,1
15,775104100001769,54844885,2458302.9464917444,58302.4488542,18.4559669,0.0348422416,0,zg,24.7764487,52.7603065,0.462000012,-0.0189999994,20180703448854,775,0x4,0x1,20.5,26.1888275,0.021633463,-0.0236628819,1.04160099e-05,30,1.48199999,1
16,775104100001769,54945069,2458303.9483954767,58303.4506944,18.476326,0.0352128446,0,zg,24.7763916,52.7603416,0.745000005,0.00600000005,20180704450683,775,0x4,0x1,20.5599995,26.2128162,0.0202112589,-0.0966465101,9.30275382e-06,30,1.45599997,1
17,775104100001769,55047290,2458304.9706717324,58304.4729051,18.4651756,0.0350090526,0,zg,24.7764296,52.7603174,0.593999982,0.0219999999,20180705472905,775,0x4,0x1,20.7600002,26.2651653,0.0199523829,-0.0745934173,8.89840794e-06,30,1.33399999,1
18,775104100001769,55147000,2458305.9678312526,58305.47,18.4032669,0.033913292,0,zg,24.7764143,52.7602971,0.541000009,-0.0260000005,20180706469988,775,0x4,0x1,20.7600002,26.2142296,0.0189215578,-0.0740482956,8.00872476e-06,30,1.33500004,1
19,775104100001769,55346545,2458307.963413942,58307.4654514,18.4650002,0.0350058638,0,zg,24.7764191,52.7603015,0.657000005,0.0500000007,20180708465417,775,0x4,0x1,21.2000008,26.0991421,0.0186487827,-0.0465649962,7.74768523e-06,30,1.33099997,1
20,775104100001769,55847027,2458312.968580332,58312.4702778,18.4655399,0.0350156836,0,zg,24.7764367,52.7603049,0.680999994,-0.00800000038,20180713470243,775,0x4,0x1,21.6599998,26.1408138,0.0209161192,-0.0471131653,9.69523444e-06,30,1.25999999,1
21,775104100001769,55946966,2458313.968036497,58313.4696644,18.4302483,0.0343835056,0,zg,24.7764085,52.7602784,0.829999983,0.00700000022,20180714469664,775,0x4,0x1,21.6100006,26.1002216,0.0175986346,-0.0438915603,6.89123044e-06,30,1.25300002,1
22,775104100001769,56047005,2458314.9685001355,58314.4700579,18.4440842,0.0346289985,0,zg,24.7764574,52.7602908,0.497999996,-0.0329999998,20180715470000,775,0x4,0x1,21.6399994,26.064888,0.0192967989,-0.0418700017,8.35155242e-06,30,1.24300003,1
23,775104100001769,56142337,2458315.9218891044,58315.4233796,18.4520588,0.0347718708,0,zg,24.7764311,52.7602978,0.63499999,0.0540000014,20180716423322,775,0x4,0x1,21.4699993,26.0250683,0.0187011771,-0.0418855175,7.86660348e-06,30,1.426,1
24,775104100001769,56242793,2458316.9265206777,58316.4279398,18.4783745,0.0352504924,0,zg,24.7764133,52.7603114,0.601000011,0.0179999992,20180717427928,775,0x4,0x1,21.0499992,25.9512882,0.0206227023,-0.0176568553,9.50323192e-06,30,1.38900006,1
25,775104100001769,56442184,2458318.920564139,58318.4218403,18.4689331,0.0350775011,0,zg,24.7764271,52.7602936,0.224000007,-0.00400000019,20180719421782,775,0x4,0x1,21.3899994,26.2832184,0.0188841261,-0.084162727,8.10540223e-06,30,1.39199996,1
26,775104100001769,56542699,2458319.925787228,58319.4269907,18.4416523,0.0345856287,0,zg,24.7764458,52.7603017,0.699000001,-0.0489999987,20180720426991,775,0x4,0x1,21.75,26.2404461,0.0167044438,-0.0535571128,6.28882572e-06,30,1.35500002,1
27,775104100001769,56647435,2458320.973224603,58320.4743519,18.459568,0.0349073149,0,zg,24.7764314,52.7603037,0.810000002,0.0289999992,20180721474282,775,0x4,0x1,21.7299995,26.1362686,0.0201173667,-0.0439438522,9.01129351e-06,30,1.18400002,1
28,775104100001769,56745819,2458321.957138987,58321.4581944,18.4682713,0.0350654311,0,zg,24.7764563,52.7603038,0.73299998,-0.00600000005,20180722458183,775,0x4,0x1,21.5900002,26.308136,0.016515024,-0.0856888965,6.2176191e-06,30,1.22000003,1
29,775104100001769,56847402,2458322.973046971,58322.4740278,18.4559669,0.0348422416,0,zg,24.776436,52.7602839,1.06500006,0.0130000003,20180723474028,775,0x4,0x1,21.6200008,26.2763481,0.0167236049,-0.0465557277,6.19854154e-06,30,1.17200005,1
30,775104100001769,56945145,2458323.950549531,58323.4514583,18.4585075,0.0348881483,0,zg,24.7764317,52.7602683,0.876999974,-0.0250000004,20180724451458,775,0x4,0x1,21.75,26.2536201,0.0175517201,-0.0443829559,6.92835965e-06,30,1.22399998,1
31,775104100001769,57044890,2458324.948065567,58324.4489005,18.4367447,0.0344984122,0,zg,24.7764622,52.7603036,0.222000003,-0.0130000003,20180725448889,775,0x4,0x1,20.6100006,26.1211605,0.0205975398,-0.0450426154,9.43546456e-06,30,1.22399998,1
32,775104100001769,57144974,2458325.9489848395,58325.4497454,18.5339622,0.0362986214,0,zg,24.7764623,52.760324,0.662,-0.0729999989,20180726449711,775,0x4,0x1,19.9400005,26.1982212,0.0283167344,-0.0218737964,1.78616974e-05,30,1.21300006,1
33,775104100001769,57248555,2458326.9848723,58326.4855556,18.5776176,0.0371581987,0,zg,24.776467,52.7602906,0.345999986,-0.0,20180727485486,775,0x4,0x1,20.3500004,26.2517014,0.0232653134,-0.0343632922,1.19330034e-05,30,1.12699997,1
34,775104100001769,57349688,2458327.996278976,58327.4968866,18.7011318,0.0397744253,0,zg,24.7764202,52.7602842,0.873000026,-0.0379999988,20180728496829,775,0x4,0x1,19.9599991,26.198185,0.0269478392,-0.0333138295,1.59760311e-05,30,1.10599995,1
35,775104100001769,57448929,2458328.988760837,58328.489294,18.7916565,0.0418763272,32768,zg,24.7765505,52.7603538,0.68599999,-0.391000003,20180729489294,775,0x4,0x1,18.7600002,25.2974739,0.100805439,0.081676051,0.000412549882,30,1.11300004,1
36,775104100001769,57547541,2458329.974957739,58329.4754167,18.7456818,0.040788509,0,zg,24.7764444,52.7602875,0.261000007,0.0109999999,20180730475359,775,0x4,0x1,20.7000008,26.2399406,0.024429014,-0.0420589596,1.33192943e-05,30,1.13,1
37,775104100001769,57649768,2458330.997303349,58330.4976852,18.9797325,0.0467943586,0,zg,24.7764239,52.7602599,0.521000028,0.00400000019,20180731497650,775,0x4,0x1,20.25,26.2243233,0.0225531813,-0.0545921028,1.13167525e-05,30,1.09500003,1
